label,source,toi,tid,target_id,period,depth,duration,kepid
1,TOI_Candidate,1283.01,266593143.0,TIC266593143,10.338505,18162.0,4.242,
1,TOI_Candidate,1287.01,352764091.0,TIC352764091,9.6001126,380.4193796,4.9882857,
1,TOI_Candidate,1288.01,365733349.0,TIC365733349,2.6998294,2798.0,2.208,
1,TOI_Candidate,129.01,201248411.0,TIC201248411,0.980972,6178.392421,0.5405036,
1,TOI_Candidate,1290.01,417676622.0,TIC417676622,5.3987355,352.0,3.127,
1,TOI_Candidate,1291.01,198186769.0,TIC198186769,7.16199,800.0,7.668,
1,TOI_Candidate,1241.01,159107668.0,TIC159107668,4.7802597,1015.4550043,1.4588658,
1,TOI_Candidate,1242.01,198212955.0,TIC198212955,0.3814849,570.0,0.565,
1,TOI_Candidate,1243.01,219698776.0,TIC219698776,4.6595169,1725.1706259,0.9011821,
1,TOI_Candidate,1244.01,219850915.0,TIC219850915,6.4002807,1026.6018729,2.1559875,
1,TOI_Candidate,1245.01,229781583.0,TIC229781583,4.8204512,1930.0,1.756,
1,TOI_Candidate,1246.01,230127302.0,TIC230127302,18.6548829,1495.4449473,5.4431451,
1,TOI_Candidate,1246.02,230127302.0,TIC230127302,4.3074513,1094.8419495,2.3379196,
1,TOI_Candidate,1246.03,230127302.0,TIC230127302,5.9041278,773.9266468,2.7678313,
1,TOI_Candidate,1246.04,230127302.0,TIC230127302,37.9251983,1370.7888539,3.5345219,
1,TOI_Candidate,1247.01,232540264.0,TIC232540264,15.9234883,493.0,4.021,
1,TOI_Candidate,1248.01,232612416.0,TIC232612416,4.3601536,5592.2909183,2.3408909,
1,TOI_Candidate,1249.01,232976128.0,TIC232976128,13.0791581,1143.0,2.97,
1,TOI_Candidate,125.01,52368076.0,TIC52368076,4.6517186,978.0,2.709,
1,TOI_Candidate,125.02,52368076.0,TIC52368076,9.1549418,1101.0,2.457,
1,TOI_Candidate,125.03,52368076.0,TIC52368076,19.9815709,909.0,2.724,
1,TOI_Candidate,125.04,52368076.0,TIC52368076,,738.7670156,4.6235211,
1,TOI_Candidate,1318.01,167092385.0,TIC167092385,4.9865029,1341.0,2.441,
1,TOI_Candidate,132.01,89020549.0,TIC89020549,2.1096805,1309.7297126,2.1344043,
1,TOI_Candidate,1320.01,167403519.0,TIC167403519,3.9729429,4558.0,3.653,
1,TOI_Candidate,133.01,219338557.0,TIC219338557,8.1995368,903.3694431,2.1168277,
1,TOI_Candidate,1333.01,395171208.0,TIC395171208,4.7201912,6710.0,4.416,
1,TOI_Candidate,135.01,267263253.0,TIC267263253,4.1269046,10831.0,4.405,
1,TOI_Candidate,1350.01,233953967.0,TIC233953967,5.5402372,2710.0,7.713,
1,TOI_Candidate,1337.01,160708862.0,TIC160708862,3.3448312,13626.0,3.322,
1,TOI_Candidate,1338.01,260128333.0,TIC260128333,95.174,2600.061605,11.6316864,
1,TOI_Candidate,1339.01,269701147.0,TIC269701147,8.8803281,1238.0,2.71,
1,TOI_Candidate,1339.02,269701147.0,TIC269701147,28.580474,1081.396943,4.5139977,
1,TOI_Candidate,1339.03,269701147.0,TIC269701147,38.3511223,1029.0917261,5.9120193,
1,TOI_Candidate,134.01,234994474.0,TIC234994474,1.4015183,593.7540922,1.1583061,
1,TOI_Candidate,1345.01,160487753.0,TIC160487753,8.47134,540.0,6.989,
1,TOI_Candidate,1346.01,219852882.0,TIC219852882,5.5025577,844.7022676,3.1711008,
1,TOI_Candidate,1346.02,219852882.0,TIC219852882,1.7622537,733.5550822,0.8779711,
1,TOI_Candidate,1347.01,229747848.0,TIC229747848,0.8474218,424.3932848,0.8758764,
1,TOI_Candidate,1347.02,229747848.0,TIC229747848,4.8420438,318.6638392,2.4105648,
1,TOI_Candidate,1293.01,202504234.0,TIC202504234,1.6849938,990.0,0.916,
1,TOI_Candidate,1294.01,219015370.0,TIC219015370,3.9152737,3350.0,2.562,
1,TOI_Candidate,1295.01,219852584.0,TIC219852584,3.1968838,7958.980656,3.7533697,
1,TOI_Candidate,1296.01,219854185.0,TIC219854185,3.9443668,6732.488454,4.8652146,
1,TOI_Candidate,1298.01,237104103.0,TIC237104103,4.5371361,4199.7558754,4.042155,
1,TOI_Candidate,130.01,263003176.0,TIC263003176,14.3392144,392.6346872,4.6064739,
1,TOI_Candidate,1300.01,293687315.0,TIC293687315,2.8716983,8568.0,4.668,
1,TOI_Candidate,1301.01,356867115.0,TIC356867115,6.0964074,1142.4891745,2.3632965,
1,TOI_Candidate,1301.02,356867115.0,TIC356867115,,2143.3712267,8.0555709,
1,TOI_Candidate,1302.01,441797803.0,TIC441797803,5.6666168,9780.0,3.604,
1,TOI_Candidate,1373.01,176899385.0,TIC176899385,3.8529998,8913.0,3.225,
1,TOI_Candidate,1381.01,275722992.0,TIC275722992,6.5601782,2474.0,4.058,
1,TOI_Candidate,1386.01,343019899.0,TIC343019899,25.8386422,1806.0,5.209,
1,TOI_Candidate,1388.01,346338552.0,TIC346338552,4.4652986,14440.0,2.502,
1,TOI_Candidate,1389.01,353038705.0,TIC353038705,3.062624,580.0,1.767,
1,TOI_Candidate,139.01,62483237.0,TIC62483237,11.0708575,1149.7328034,2.1937617,
1,TOI_Candidate,1404.01,352239069.0,TIC352239069,6.8674054,779.0,3.488,
1,TOI_Candidate,1404.02,352239069.0,TIC352239069,14.431887,1687.0,3.265,
1,TOI_Candidate,1406.01,231736113.0,TIC231736113,10.5739824,5460.0,4.04,
1,TOI_Candidate,1407.01,69747919.0,TIC69747919,9.9783319,179.2248456,4.2281711,
1,TOI_Candidate,1408.01,364186197.0,TIC364186197,4.4247042,2447.0,1.318,
